
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd
 8.28000e-01       2.35787e-04       3.83284e-05       3.36331e-15       1.61332e-06       5.77359e-01       2.67958e-01      
 8.37000e-01       2.42429e-04       4.04806e-05       3.37146e-15       1.67568e-06       5.77359e-01       2.74610e-01      
 8.46000e-01       2.48964e-04       4.26920e-05       3.37917e-15       1.73883e-06       5.77359e-01       2.81257e-01      
 8.55000e-01       2.55389e-04       4.49618e-05       3.38649e-15       1.80276e-06       5.77359e-01       2.87899e-01      
 8.64000e-01       2.61702e-04       4.72888e-05       3.39343e-15       1.86744e-06       5.77359e-01       2.94531e-01      
 8.73000e-01       2.67902e-04       4.96722e-05       3.40002e-15       1.93285e-06       5.77359e-01       3.01153e-01      
 8.82000e-01       2.73986e-04       5.21108e-05       3.40629e-15       1.99897e-06       5.77359e-01       3.07761e-01      
 8.91000e-01       2.79956e-04       5.46036e-05       3.41227e-15       2.06579e-06       5.77359e-01       3.14355e-01      
 9.00000e-01       2.85811e-04       5.71497e-05       3.41798e-15       2.13329e-06       5.77359e-01       3.20932e-01      
 9.09000e-01       2.91550e-04       5.97479e-05       3.42343e-15       2.20146e-06       5.77359e-01       3.27491e-01      
 9.18000e-01       2.97176e-04       6.23973e-05       3.42864e-15       2.27028e-06       5.77359e-01       3.34031e-01      
 9.27000e-01       3.02687e-04       6.50967e-05       3.43363e-15       2.33974e-06       5.77359e-01       3.40552e-01      
 9.36000e-01       3.08085e-04       6.78452e-05       3.43842e-15       2.40983e-06       5.77359e-01       3.47051e-01      
 9.45000e-01       3.13372e-04       7.06418e-05       3.44301e-15       2.48054e-06       5.77359e-01       3.53529e-01      
 9.54000e-01       3.18547e-04       7.34855e-05       3.44743e-15       2.55185e-06       5.77359e-01       3.59984e-01      
 9.63000e-01       3.23613e-04       7.63752e-05       3.45168e-15       2.62376e-06       5.77359e-01       3.66417e-01      
 9.72000e-01       3.28571e-04       7.93101e-05       3.45578e-15       2.69626e-06       5.77359e-01       3.72827e-01      
 9.81000e-01       3.33422e-04       8.22891e-05       3.45974e-15       2.76935e-06       5.77359e-01       3.79213e-01      
 9.90000e-01       3.38167e-04       8.53112e-05       3.46356e-15       2.84301e-06       5.77359e-01       3.85575e-01      
 9.99000e-01       3.42808e-04       8.83756e-05       3.46726e-15       2.91724e-06       5.77359e-01       3.91914e-01      
 1.00800e+00       3.47347e-04       9.14813e-05       3.47084e-15       2.99204e-06       5.77359e-01       3.98228e-01      
 1.01700e+00       3.51785e-04       9.46273e-05       3.47431e-15       3.06740e-06       5.77359e-01       4.04519e-01      
 1.02600e+00       3.56123e-04       9.78129e-05       3.47768e-15       3.14331e-06       5.77359e-01       4.10785e-01      
 1.03500e+00       3.60363e-04       1.01037e-04       3.48095e-15       3.21978e-06       5.77359e-01       4.17028e-01      
 1.04400e+00       3.64506e-04       1.04299e-04       3.48413e-15       3.29679e-06       5.77359e-01       4.23247e-01      
 1.05300e+00       3.68554e-04       1.07598e-04       3.48723e-15       3.37435e-06       5.77359e-01       4.29443e-01      
 1.06200e+00       3.72509e-04       1.10932e-04       3.49025e-15       3.45246e-06       5.77359e-01       4.35615e-01      
 1.07100e+00       3.76370e-04       1.14302e-04       3.49319e-15       3.53111e-06       5.77359e-01       4.41764e-01      
 1.08000e+00       3.80141e-04       1.17706e-04       3.49607e-15       3.61030e-06       5.77359e-01       4.47890e-01      
